Date,Fremont Bridge West Sidewalk,Fremont Bridge East Sidewalk
04/09/2014 12:00:00 AM,1,6
04/09/2014 01:00:00 AM,3,5
04/09/2014 02:00:00 AM,1,0
04/09/2014 03:00:00 AM,2,1
04/09/2014 04:00:00 AM,4,2
04/09/2014 05:00:00 AM,18,8
04/09/2014 06:00:00 AM,87,26
04/09/2014 07:00:00 AM,206,83
04/09/2014 08:00:00 AM,328,144
04/09/2014 09:00:00 AM,193,110
04/09/2014 10:00:00 AM,102,61
04/09/2014 11:00:00 AM,56,41
04/09/2014 12:00:00 PM,57,39
04/09/2014 01:00:00 PM,60,53
04/09/2014 02:00:00 PM,56,35
04/09/2014 03:00:00 PM,72,90
04/09/2014 04:00:00 PM,111,159
04/09/2014 05:00:00 PM,164,419
04/09/2014 06:00:00 PM,178,334
04/09/2014 07:00:00 PM,101,165
04/09/2014 08:00:00 PM,52,64
04/09/2014 09:00:00 PM,38,31
04/09/2014 10:00:00 PM,19,22
04/09/2014 11:00:00 PM,5,16
04/10/2014 12:00:00 AM,8,10
04/10/2014 01:00:00 AM,3,8
04/10/2014 02:00:00 AM,2,3
04/10/2014 03:00:00 AM,1,1
04/10/2014 04:00:00 AM,1,1
04/10/2014 05:00:00 AM,18,11
04/10/2014 06:00:00 AM,69,33
04/10/2014 07:00:00 AM,232,69
04/10/2014 08:00:00 AM,352,150
04/10/2014 09:00:00 AM,220,129
04/10/2014 10:00:00 AM,96,54
04/10/2014 11:00:00 AM,71,42
04/10/2014 12:00:00 PM,73,78
04/10/2014 01:00:00 PM,58,51
04/10/2014 02:00:00 PM,66,61
04/10/2014 03:00:00 PM,80,82
04/10/2014 04:00:00 PM,101,160
04/10/2014 05:00:00 PM,163,339
04/10/2014 06:00:00 PM,200,317
04/10/2014 07:00:00 PM,103,150
04/10/2014 08:00:00 PM,56,62
04/10/2014 09:00:00 PM,31,44
04/10/2014 10:00:00 PM,14,29
04/10/2014 11:00:00 PM,15,23
04/11/2014 12:00:00 AM,5,13
04/11/2014 01:00:00 AM,4,6
04/11/2014 02:00:00 AM,3,5
04/11/2014 03:00:00 AM,2,3
04/11/2014 04:00:00 AM,4,1
04/11/2014 05:00:00 AM,19,11
04/11/2014 06:00:00 AM,56,28
04/11/2014 07:00:00 AM,194,68
04/11/2014 08:00:00 AM,319,119
04/11/2014 09:00:00 AM,177,97
04/11/2014 10:00:00 AM,70,63
04/11/2014 11:00:00 AM,58,44
04/11/2014 12:00:00 PM,54,40
04/11/2014 01:00:00 PM,58,45
04/11/2014 02:00:00 PM,58,62
04/11/2014 03:00:00 PM,84,88
