year,day,hour,day_of_week,location,num_bikes
2014,6,18,6,26th_Ave_SW_Greenway_at_SW_Oregon_St,24
2014,6,19,6,26th_Ave_SW_Greenway_at_SW_Oregon_St,7
2014,6,20,6,26th_Ave_SW_Greenway_at_SW_Oregon_St,21
2014,6,21,6,26th_Ave_SW_Greenway_at_SW_Oregon_St,6
2014,6,22,6,26th_Ave_SW_Greenway_at_SW_Oregon_St,2
2014,6,23,6,26th_Ave_SW_Greenway_at_SW_Oregon_St,4
2014,7,0,0,26th_Ave_SW_Greenway_at_SW_Oregon_St,2
2014,7,1,0,26th_Ave_SW_Greenway_at_SW_Oregon_St,0
2014,7,2,0,26th_Ave_SW_Greenway_at_SW_Oregon_St,0
2014,7,3,0,26th_Ave_SW_Greenway_at_SW_Oregon_St,0
2014,7,4,0,26th_Ave_SW_Greenway_at_SW_Oregon_St,1
2014,7,5,0,26th_Ave_SW_Greenway_at_SW_Oregon_St,0
2014,7,6,0,26th_Ave_SW_Greenway_at_SW_Oregon_St,12
2014,7,7,0,26th_Ave_SW_Greenway_at_SW_Oregon_St,34
2014,7,8,0,26th_Ave_SW_Greenway_at_SW_Oregon_St,31
2014,7,9,0,26th_Ave_SW_Greenway_at_SW_Oregon_St,21
2014,7,10,0,26th_Ave_SW_Greenway_at_SW_Oregon_St,13
2014,7,11,0,26th_Ave_SW_Greenway_at_SW_Oregon_St,30
2014,7,12,0,26th_Ave_SW_Greenway_at_SW_Oregon_St,25
2014,7,13,0,26th_Ave_SW_Greenway_at_SW_Oregon_St,42
2014,7,14,0,26th_Ave_SW_Greenway_at_SW_Oregon_St,39
2014,7,15,0,26th_Ave_SW_Greenway_at_SW_Oregon_St,42
2014,7,16,0,26th_Ave_SW_Greenway_at_SW_Oregon_St,96
2014,7,17,0,26th_Ave_SW_Greenway_at_SW_Oregon_St,136
2014,7,18,0,26th_Ave_SW_Greenway_at_SW_Oregon_St,81
2014,7,19,0,26th_Ave_SW_Greenway_at_SW_Oregon_St,59
2014,7,20,0,26th_Ave_SW_Greenway_at_SW_Oregon_St,58
2014,7,21,0,26th_Ave_SW_Greenway_at_SW_Oregon_St,13
2014,7,22,0,26th_Ave_SW_Greenway_at_SW_Oregon_St,8
2014,7,23,0,26th_Ave_SW_Greenway_at_SW_Oregon_St,2
2014,8,0,1,26th_Ave_SW_Greenway_at_SW_Oregon_St,2
2014,8,1,1,26th_Ave_SW_Greenway_at_SW_Oregon_St,0
2014,8,2,1,26th_Ave_SW_Greenway_at_SW_Oregon_St,0
2014,8,3,1,26th_Ave_SW_Greenway_at_SW_Oregon_St,0
